"OrganismCode","IEPFishCode","CommonName","Native","Phylum","Class","Order","Family","Genus","Species","Taxa"
"SPLT","SPLITT","Splittail","N","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Pogonichthys","macrolepidotus","Pogonichthys macrolepidotus"
"STB","STRBAS","Striped Bass","I","Chordata","Osteichthyes","Perciformes","Percichthyidae","Morone","saxatilis","Morone saxatilis"
"STF","STAFLO","Starry Flounder","N","Chordata","Osteichthyes","Pleuronectiformes","Pleuronectidae","Platichthys","stellatus","Platichthys stellatus"
"TFS","THRSHA","Threadfin Shad","I","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Dorosoma","petenense","Dorosoma petenense"
"TP","TULPER","Tule Perch","N","Chordata","Osteichthyes","Perciformes","Embiotocidae","Hysterocarpus","traski","Hysterocarpus traskii"
"TSS","THRSTI","Threespine Stickleback","N","Chordata","Osteichthyes","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus","Gasterosteus aculeatus"
"UNID","UNIDEN","Unknown",NA,NA,NA,NA,NA,NA,"unknown","Unknown"
"W","WARMOT","Warmouth","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","gulosus","Lepomis gulosus"
"WAG","WAKASA","Wakasagi","I","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Hypomesus","nipponensis","Hypomesus nipponensis"
"WHC","WHICAT","White Catfish","I","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ameiurus","catus","Ameiurus catus"
"WHS","WHICRA","White Crappie","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Pomoxis","annularis","Pomoxis annularis"
"WST","WHISTU","White Sturgeon","N","Chordata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser","transmontanus","Acipenser transmontanus"
"YEB","YELBUL","Yellow Bullhead","I","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ictalurus","natalis","Ictalurus natalis"
"YFG","YELGOB","Yellowfin Goby","I","Chordata","Osteichthyes","Perciformes","Gobiidae","Acanthogobius","flavimanus","Acanthogobius flavimanus"
